movie,6836304
film,5688603
"",4572875
one,3986153
like,3345114
good,2658265
story,2289548
really,2131002
time,2004097
see,1873667
great,1830509
even,1830437
well,1778707
much,1713216
also,1660377
first,1564952
get,1524848
people,1472480
characters,1432441
dont,1367562
